Character,Sentence      
HARRY,Ron...      
HARRY,This is why Hermione was in the library the day she was attacked.      
HARRY,Come on.      
HARRY,Of the many fearsome beasts that roam our land none is more deadly than the basilisk.      

HARRY,Capable of living for hundreds of years instant death awaits any who meet this giant serpents eye.
HARRY,Spiders flee before it.
HARRY,Ron  this is it.
HARRY,The monster in the Chamber of Secrets is a basilisk.
HARRY,Thats why I can hear it speak.
HARRY,Its a snake.
RON,But if it kills by looking people in the eye  why is it no ones dead?
HARRY,Because no one did look it in the eye.
HARRY,Not directly  at least.
HARRY,Colin saw it through his camera.
HARRY,Justin... Justin must have seen the basilisk through Nearly Headless Nick.
HARRY,Nick got the full blast of it.
HARRY,But hes a ghost  he couldnt die again.
HARRY,And Hermione had the mirror.
HARRY,I bet you she was using it to look around corners in case it came along.
RON,And Mrs. Norris?
RON,Im pretty sure she didnt havea camera or a mirror  Harry.
HARRY,The water.
HARRY,There was water on the floor that night.
HARRY,She only saw the basilisks reflection.
HARRY,Spiders flee before it.
HARRY,It all fits.
RON,Hows a basilisk been getting around?
RON,A dirty  great snake.
RON,Someone would have seen it.
HARRY,Hermiones answered that too.
RON,Pipes? Its using the plumbing.
HARRY,Remember what Aragog said about that girl 50 years ago?
HARRY,She died in a bathroom?
HARRY,What if she never left?
RON,Moaning Myrtle.
MCGONAGALL,All students are to return to their house dormitories at once.
MCGONAGALL,All teachers to the second-floor corridor immediately.
MCGONAGALL,As you can see  the Heir of Slytherin has left another message.
MCGONAGALL,Our worst fear has been realized.
MCGONAGALL,A student has been taken by the monster into the Chamber itself.
MCGONAGALL,The students must be sent home.
MCGONAGALL,Im afraid this is the end of Hogwarts.
LOCKHART,So sorry. Dozed off.
LOCKHART,What have I missed?
SNAPE,A girl has been snatched by the monster  Lockhart. 
SNAPE,Your moment has come at last.
LOCKHART,My moment?
SNAPE,Werent you saying just last night that youve known all along where the entrance to the Chamber of Secrets is?
MCGONAGALL,Thats settled. 
MCGONAGALL,Well leave you to deal with the monster  Gilderoy.
MCGONAGALL,Your skills  after all  are legend.
LOCKHART,Very well.
LOCKHART,Ill just be in my office getting...
LOCKHART,Getting ready.
MADAM POMFREY,Who is it that the monsters taken  Minerva?
MCGONAGALL,Ginny Weasley.
RON,Her skeleton will lie in the Chamber forever.
RON,Ginny.
HARRY,Lockhart may be useless  but hes going to try and get into the Chamber.
HARRY,At least we can tell him what we know.
HARRY,Professor  we have some information for you.
HARRY,Are you going somewhere?
LOCKHART,Well  yes. Urgent call. Unavoidable.
LOCKHART,Got to go.
RON,What about my sister?
LOCKHART,Well… Aemm…
LOCKHART,As to that  most unfortunate.
LOCKHART,No one regrets more than I.
RON,Youre the Defense Against the Dark Arts teacher. 
RON,You cant go now.
LOCKHART,I must say  when I took the job  there was nothing in the description...
HARRY,Youre running away?
HARRY,After all you did in your books?
LOCKHART,Books can be misleading.
HARRY,You wrote them.
LOCKHART,My dear boy  use your common sense.
LOCKHART,My books wouldnt have sold as well if people didnt think Id done those things.
HARRY,Youre a fraud.
HARRY,Youve been taking credit for what other wizards have done.
RON,Is there anything you can do?
LOCKHART,Yes  now you mention it.
LOCKHART,Im rather gifted with Memory Charms.
LOCKHART,Otherwise  all those wizards would have gone blabbing.
LOCKHART,Id never have sold another book.
LOCKHART,In fact  Im going to have to do the same to you.
HARRY,Dont even think about it.
MOANING MYRTLE,Whos there?
MOANING MYRTLE,Hello  Harry.
MOANING MYRTLE,What do you want?
HARRY,To ask you how you died.
MOANING MYRTLE,It was dreadful.
MOANING MYRTLE,It happened right here in this very cubicle.
MOANING MYRTLE,Id hidden because Olive Hornby was teasing me about my glasses.
MOANING MYRTLE,I was crying  and then I heard somebody come in.
HARRY,Who was it  Myrtle?
MOANING MYRTLE,I dont know. I was distraught!
MOANING MYRTLE,But they said something funny  a kind of made-up language.
MOANING MYRTLE,And I realized it was a boy  so I unlocked the door to tell him to go away and I died.
HARRY,Just like that? How?
MOANING MYRTLE,I just remember seeing a pair of great  big  yellow eyes over there by that sink.
HARRY,This is it.
HARRY,This is it  Ron. I think this is the entrance to the Chamber of Secrets.
RON,Say something. 
RON,Harry say something in Parseltongue!
LOCKHART,Excellent  Harry. Good work.
LOCKHART,Well  then  Ill just be...
LOCKHART,Theres no need for me to stay.
HARRY,Yes  there is.
HARRY,You first.
LOCKHART,Now  boys  what good will it do?
RON,Better you than us.
LOCKHART,But... Obviously  yes.
LOCKHART,Sure you dont want to test it first?
LOCKHART,Its really quite filthy down here.
HARRY,All right. Lets go.
MOANING MYRTLE,Oh  Harry?
MOANING MYRTLE,If you die down there  youre welcome to share my toilet.
HARRY,Thanks  Myrtle.
HARRY,Now  remember: Any sign of movement  close your eyes straightaway.
RON,Go on.
HARRY,This way.
RON,Whats this?
LOCKHART,It looks like a snake.
HARRY,Its a snake skin.
RON,Bloody hell.
RON,Whatever shed this must be 60 feet long. Or more.
RON,Heart of a lion  this one.
LOCKHART,The adventure ends here  boys.
LOCKHART,But dont fret.
LOCKHART,The world will know our story.
LOCKHART,How I was too late to save the girl.
LOCKHART,How you two tragically lost your minds at the sight of her mangled body.
LOCKHART,So...You first  Mr. Potter.
LOCKHART,Say goodbye to your memories.
LOCKHART,Obliviate!
RON,Harry! Harry
HARRY,Ron! Ron  are you okay?
RON,Im fine.
LOCKHART,Hello. Who are you?
RON,Ron Weasley.
LOCKHART,Really?
LOCKHART,And who am I?
RON,Lockharts Memory Charm backfired.
RON,He hasnt got a clue who he is.
LOCKHART,Its an odd sort of place  isnt it?
LOCKHART,Do you live here?
RON,No.
LOCKHART,Really?
RON,What do I do now?
HARRY,You wait here and try and shift some of this rock so we can get back through.
HARRY,Ill go on and find Ginny.
RON,Okay.
HARRY,Ginny! Ginny  please dont be dead.
HARRY,Wake up  wake up.
HARRY,Please wake up.
TOM RIDDLE,She wont wake.
HARRY,Tom. Tom Riddle.
HARRY,What do you mean  she wont wake?
HARRY,Shes not...?
TOM RIDDLE,Shes still alive  but only just.
HARRY,Are you a ghost?
TOM RIDDLE,A memory preserved in a diary for 50 years.
HARRY,Shes cold as ice.
HARRY,Ginny  please dont be dead. Wake up.
HARRY,Youve got to help me  Tom.
HARRY,Theres a basilisk.
TOM RIDDLE,It wont come until its called.
HARRY,Give me my wand  Tom.
TOM RIDDLE,You wont be needing it.
HARRY,Weve got to go. Weve got to save her.
TOM RIDDLE,Im afraid I cant do that.
TOM RIDDLE,You see  as poor Ginny grows weaker  I grow stronger.
TOM RIDDLE,Yes  Harry  it was Ginny Weasley who opened the Chamber of Secrets.
HARRY,No. She couldnt. She wouldnt.
TOM RIDDLE,It was Ginny who set the basilisk on the Mudbloods and Filchs cat Ginny who wrote the threatening messages on the walls.
HARRY,But why?
TOM RIDDLE,Because I told her to.
TOM RIDDLE,Youll find I can be very persuasive.
TOM RIDDLE,Not that she knew what she was doing.
TOM RIDDLE,She was  shall we say  in a kind of trance.
TOM RIDDLE,Still  the power of the diary began to scare her.
TOM RIDDLE,She tried to dispose of it in the girls bathroom.
TOM RIDDLE,And then who should find it but you?
TOM RIDDLE,The very person I was most anxious to meet.
HARRY,And why did you want to meet me?
TOM RIDDLE,I knew I had to talk to you  meet you if I could.
TOM RIDDLE,So I decided to show you my capture of that brainless oaf Hagrid to gain your trust.
HARRY,Hagrids my friend.
HARRY,And you framed him  didnt you?
TOM RIDDLE,It was my word against Hagrids.
TOM RIDDLE,Only Dumbledore seemed to think he was innocent.
HARRY,Ill bet Dumbledore saw right through you.
TOM RIDDLE,He certainly kept an annoyingly close watch on me after that.
TOM RIDDLE, I knew it wouldnt be safe to open the Chamber again while I was at school so I decided to leave behind a diary preserving my 16-year-old self in its pages so that one day
TOM RIDDLE,I would be able to lead another to finish Salazar Slytherins noble work.
HARRY,Well  you havent finished it this time.
HARRY,In a few hours  the Mandrake Draught will be ready.
HARRY,And everyone who was Petrified will be all right again.
TOM RIDDLE,Havent I told you? Killing Mudbloods doesnt matter to me anymore.
TOM RIDDLE,For many months now  my new target has been you.
TOM RIDDLE,How is it that a baby with no extraordinary magical talent was able to defeat the greatest wizard of all time?
TOM RIDDLE,How did you escape with nothing but a scar while Lord Voldemorts powers were destroyed?
HARRY,Why do you care how I escaped?
HARRY,Voldemort was after your time.
TOM RIDDLE,Voldemort is my past  present and future.
HARRY,You. Youre the Heir of Slytherin.
HARRY,Youre Voldemort.
TOM RIDDLE,Surely you didnt think .I was going to keep my filthy Muggle fathers name?
TOM RIDDLE,No. I fashioned myself a new name  a name I knew wizards everywhere would fear to speak when I became the greatest sorcerer in the world.
HARRY,Albus Dumbledore is the greatest sorcerer in the world.
TOM RIDDLE,Dumbledores been driven out of this castle by the mere memory of me.
HARRY,Hell never be gone. 
HARRY,Not as long as those who remain are loyal to him.
HARRY,Fawkes?
TOM RIDDLE,So this is what Dumbledore sends his great defender.
TOM RIDDLE,A songbird and an old hat.
TOM RIDDLE,Lets match the power of Lord Voldemort  Heir of Salazar Slytherin against the famous Harry Potter.
TOM RIDDLE,Parseltongue wont save you now  Potter. 
TOM RIDDLE,It only obeys me.
TOM RIDDLE,No! Your bird may have blinded the basilisk  but it can still hear you.
TOM RIDDLE,Yes  Potter.
TOM RIDDLE,The process is nearly complete.
TOM RIDDLE,In a few minutes  Ginny Weasley will be dead  and I will cease to be a memory.
TOM RIDDLE,Lord Voldemort will return .very much alive.
HARRY,Ginny?
TOM RIDDLE,Remarkable  isnt it? how quickly the venom of the basilisk penetrates the body?
TOM RIDDLE,Id guess you have little more than a minute to live.
TOM RIDDLE,Youll be with your dear Mudblood mother soon  Harry.
TOM RIDDLE,Funny  the damage a silly little book can do especially in the hands of a silly little girl.
TOM RIDDLE,What are you doing?
TOM RIDDLE,Stop. No!
HARRY,Ginny?
GINNY,Harry  It was me.
GINNY,But I swear  I didnt mean to.
GINNY,Riddle made me  and...
GINNY,Harry  youre hurt.
HARRY,Dont worry.
HARRY,Ginny  you need to get yourself out.
HARRY,Follow the Chamber and youll find Ron.
HARRY,You were brilliant  Fawkes.
HARRY,I just wasnt quick enough.
HARRY,Of course.
HARRY,Phoenix tears have healing powers.
HARRY,Thanks.
HARRY,Its all right  Ginny.
HARRY,Its over.
HARRY,Its just a memory.
LOCKHART,Amazing!
LOCKHART,This is just like magic!
DUMBLEDORE,You both realize  of course that in the past few hours  you have broken perhaps a dozen school rules.
HARRY,Yes  sir.
DUMBLEDORE,There is sufficient evidence to have you both expelled.
HARRY,Yes  sir.
DUMBLEDORE,Therefore  it is only fitting that you both receive Special Awards for Services to the School.
RON,Thanks  sir.
DUMBLEDORE,Now  Mr. Weasley  if you would have an owl deliver these release papers to Azkaban.
DUMBLEDORE,I believe we want our gamekeeper back.
DUMBLEDORE,Harry  First  I want to thank you  Harry.
DUMBLEDORE,You must have shown me real loyalty down in the Chamber.
DUMBLEDORE,Nothing but that could have called Fawkes to you.
DUMBLEDORE,And second I sense that something is troubling you.
DUMBLEDORE,Am I right  Harry?
HARRY,Its just...
HARRY,You see  sir  I couldnt help but notice certain things  certain...
HARRY,Certain similarities between Tom Riddle and me.
DUMBLEDORE,I see.
DUMBLEDORE,Well  you can speak Parseltongue  Harry. Why?
DUMBLEDORE,Because Lord Voldemort can speak Parseltongue.
DUMBLEDORE,If Im not mistaken  Harry he transferred some of his powers to you the night he gave you that scar.
HARRY,Voldemort transferred some of his powers to me?
DUMBLEDORE,Not intentionally but yes.
HARRY,So the Sorting Hat was right.
HARRY,I should be in Slytherin.
DUMBLEDORE,Its true. You possess many of the qualities that Voldemort himself prizes.
DUMBLEDORE,Determination  resourcefulness and if I may say so  a certain disregard for the rules.
DUMBLEDORE,Why  then  did the Sorting Hat place you in Gryffindor?
HARRY,Because I asked it to.
DUMBLEDORE,Exactly  Harry. Exactly.
DUMBLEDORE,Which makes you different from Voldemort.
DUMBLEDORE,It is not our abilities that show what we truly are.
DUMBLEDORE,It is our choices.
DUMBLEDORE,If you want proof why you belong in Gryffindor then I suggest you look more closely at this.
DUMBLEDORE,Be careful.
HARRY,Godric Gryffindor.
DUMBLEDORE,It would take a true Gryffindor to pull that out of the hat.
HARRY,Dobby.
HARRY,So this is your master.
HARRY,The family you serve is the Malfoys.
LUCIUS MALFOY,Ill deal with you later.
LUCIUS MALFOY,Out of my way  Potter.
LUCIUS MALFOY,So its true. You have returned.
DUMBLEDORE,When the governors learned that Arthur Weasleys daughter was taken into the Chamber  they saw fit to summon me back.
LUCIUS MALFOY,Ridiculous.
DUMBLEDORE,Curiously  Lucius  several of them were under the impression that you would curse their family if they did not agree to suspend me in the first place.
LUCIUS MALFOY,How dare you!
DUMBLEDORE,Beg your pardon?
LUCIUS MALFOY,My sole concern has always been and will always be the welfare of this school and  of course  its students.
LUCIUS MALFOY,The culprit has been identified  I presume?
DUMBLEDORE,Yes.
LUCIUS MALFOY,And?
LUCIUS MALFOY,Who was it?
DUMBLEDORE,Voldemort.
DUMBLEDORE,Only this time he chose to act through somebody else by means of this.
LUCIUS MALFOY,I see.
DUMBLEDORE,Fortunately  our young Mr. Potter discovered it.
DUMBLEDORE,One hopes that no more of Lord Voldemorts old school-things should find their way into innocent hands.
DUMBLEDORE,The consequences for the one responsible would be severe.
LUCIUS MALFOY,Well  let us hope that Mr. Potter will always be around to save the day.
HARRY,Dont worry. I will be.
LUCIUS MALFOY,Dumbledore.
LUCIUS MALFOY,Come  Dobby. Were leaving.
HARRY,Sir? I wonder if I could have that?
HARRY,Mr. Malfoy.
HARRY,Mr. Malfoy!
HARRY,I have something of yours.
LUCIUS MALFOY,Mine? I dont know what youre talking about.
HARRY,I think you do  sir.
HARRY,I think you slipped the diary into Ginny Weasleys cauldron that day at Diagon Alley.
LUCIUS MALFOY,You do  do you?
LUCIUS MALFOY,Why dont you prove it?
LUCIUS MALFOY,Come  Dobby.
HARRY,Open it.
LUCIUS MALFOY,Dobby.
DOBBY,Master has given Dobby a sock.
LUCIUS MALFOY,What? I didnt give...
DOBBY,Master has presented Dobby with clothes.
DOBBY,Dobby is free.
LUCIUS MALFOY,You lost me my servant!
DOBBY,You shall not harm Harry Potter.
LUCIUS MALFOY,Your parents were meddlesome fools too.
LUCIUS MALFOY,Mark my words  Potter.
LUCIUS MALFOY,One day soon you are going to meet the same sticky end.
DOBBY,Harry Potter freed Dobby.
DOBBY,How can Dobby ever repay him?
HARRY,Just promise me something.
DOBBY,Anything  sir.
HARRY,Never try to save my life again.
RON,Welcome back  Sir Nicholas.
SIR NICHOLAS,Thank you.
RON,Good evening  Sir Nicholas.
SIR NICHOLAS,Good evening.
RON,Good to see you  Sir Nicholas.
SIR NICHOLAS,Thank you.
SIR NICHOLAS,Hello.
SIR NICHOLAS,Hermione! Welcome back.
HERMIONE,Thanks  Sir Nicholas.
NEVILLE,Harry. Its Hermione.
RON,Welcome back  Hermione.
HERMIONE,Its good to be back.
HERMIONE,Congratulations.
HERMIONE,I cant believe you solved it.
HARRY,We had loads of help from you.
HARRY,We couldnt have done it without you.
HERMIONE,Thanks.
MCGONAGALL,Could I have your attention  please?
DUMBLEDORE,Before we begin the feast let us have a round of applause for Professor Sprout  Madam Pomfrey whose Mandrake juice has been so successfully administered to all who had been Petrified.
DUMBLEDORE,Also  in light of the recent events as a school treat all exams have been canceled.
HERMIONE,Oh  no.
HAGRID,Sorry Im late.
HAGRID,The owl that delivered my release papers got all lost and confused.
HAGRID,Some ruddy bird called Errol.
HAGRID,And Id just like to say that if it hadnt been for you  Harry and Ron and Hermione  of course I would still be you-know-where so Id just like to say thanks.
HARRY,Theres no Hogwarts without you  Hagrid.      
